Index|Name|Transliteration|Meaning|Explanation
31|اللَّطِيفُ|El-Latîf |Islerin bütün inceliklerini bilen.|El-Latîf: Yaratilmislarin ihtiyaçlarini en ince ayrintiya varincaya kadar bilip sezilmez yollarla karsilayan; kullarina yumusaklikla, lütuf ve ihsâniyla muâmele eden demektir. Allah Teâlâ, kullarina iyilik ve merhamet edendir. Fiillerini yumusaklikla gerçeklestirendir. Sonsuz lütuf ve kerem sahibidir. Kendisine gizli olan hiç bir sey yoktur.
32|الْخَبِيرُ|El-Habîr |Her seyin iç yüzünden, gizli tarafindan haberdar olan.|El-Habîr: Her seyi bilen, her seyin iç yüzünden, gizli taraflarindan haberdâr olan demektir. Allah Teâlâ, yerde ve gökte, bütün evrende olan gizli açik her seyden haberdârdir. O’nun bilemeyecegi bir sey düsünmek mümkün degildir. Bu bakimdan yaptigimiz her seyi Allah’in bildigini düsünerek yapmaliyiz.
33|الْحَلِيمُ|El-Halîm |Yumusak davranan, hilmi çok olan.|El-Halîm: Suçlularin cezasini vermeye gücü yettigi hâlde cezalandirmayip onlar hakkinda yumusak davranan, cezalarini geriye birakan; acele ve kizginlikla muâmele etmeyen demektir. Allah Teâlâ, günahlari yüzünden kullarina olan lütuf ve ihsânini esirgemez. Iyi olsun kötü olsun bütün kullarini riziklandirir; belâ ve âfetlerden korur. Acelecilikle ve kizginlikla davranmaz. Çok yumusak davranir. Ceza vermekte acele etmez. Süre tanir, ama ihmal etmez.
34|الْعَظِيمُ|El-Azîm |Pek azametli ve büyük olan.|El-Azîm: Büyük, yüce, ulu demektir. Allah Teâlâ, zât ve sifatlari bakimindan en büyüktür. Mutlak ve ekmel büyüklük Allah’a mahsustur. O, hiç bir sekilde âciz birakilmayacak olan Kâdir-i mutlaktir. Akil, O’nun büyüklügünü idrâkten âcizdir.
35|الْغَفُورُ|El-Gafûr |Çok bagislayan, magfireti çok olan.|El-Gafûr: Günahlari bagislayan; affeden demektir. Allah Teâlâ, bagislamasi bol olandir. Kulun günahi ne kadar çok olursa olsun Allah Teâlâ, bunlari meydana çikarip kulunu rezil ve rüsvay etmez, bunlari örter ve gizler. Kulun, isledigi gü nahlari ve suçlari bagislar. Sonsuz magfiret edici ve bagislayicidir. Bu isimden nasip alan kul, daima istigfâra yönelir. Sahsina yapilan haksizliklari bagislar. Kin tutmaz.
36|الشَّكُورُ|Es-Sekûr |Kendi rizasi için yapilan iyi isleri, ziyadesiyle mükafatlandiran.|Es-Sekûr: Az iyilige çok mükâfât veren; kendi rizasi için yapilan iyilikleri fazlasiyla mükâfâtlandiran demektir. Allah Teâlâ, kullarin isledigi ibâdet ve iyilikleri fazlasiyla karsilayandir. Kul, Allah’in verdigi nimetlere sükürle karsilik vermelidir. Kul sükrederse, Allah onun sükrünü karsiliksiz birakmaz, fazlasiyla mükâfâtlandirir.
37|الْعَلِيُّ|El-Aliyy |Çok yüce. Pek yüksek olan.|El-Aliyy: Pek yüce, pek yüksek demektir. Allah Teâlâ, insan tasavvurunun tahayyül edecegi her seyden daha büyük, daha yüce ve daha yüksektir. Izzet, seref ve hükümranlik bakimindan O’ndan daha yüce bir varlik yoktur. O’nun yüksekligi cisimlerin sahip oldugu türden degildir. Yücelik ve üstünlük bakimindandir.
38|الْكَبِيرُ|El-Kebîr |Büyüklügünde hudut olmayan.|El-Kebîr: Büyük ve ulu demektir. Allah Teâlâ, her hususta insanlarin kavrayamayacagi kadar ulu ve büyüktür. Zâtinin ve sifatlarinin mâhiyeti bilinemeyecek kadar uludur. Mutlak büyüktür. Kudret ve hükümranligi sinirsizdir. Hiç bir seye muhtaç degildir. Yaratilmislara benzemez. O’nun büyüklügü, mekâna bagli bir büyüklük degildir. O, bundan münezzehtir.
39|الْحَفِيظُ|El-Hafîz |Yapilan isleri bütün tafsilatiyla, ayrintilariyla tutan.|El-Hafîz: Koruyup gözeten; kendisinden gizli hiç bir sey olmayan demektir. Allah Teâlâ, evrenin düzenini koruyup sürdürendir. Her seyi eksiksiz kaydedip hesaba çekmek üzere koruyandir. Insanlarin niyetlerini ve bütün sirlarini bilendir. Insanlarin söz ve hareketlerini melekler araciligiyla tesbit ve tescil ettirendir. Dostlarini kötülüklerden koruyandir.
40|المُقيِت|El-Mukît |Yaratilmis her seyin azigini veren.|El-Mukît: Yaratilmislarin her türlü gidalarini yaratip veren; her seye gücü yeten ve koruyan demektir. Allah Teâlâ, bedenlerin ve ruhlarin gidasini yaratip verendir. Yarattigi bütün canlilara ne kadar ömür takdir etmisse ona göre riziklarini da tayin ve takdir etmistir. Herkesin rizki bellidir. Herkes kendi rizkini yer, kimse kimsenin rizkini yemez.
41|الْحسِيبُ|El-Hasîb |Herkesin hayati boyunca yaptiklarinin hesabini soran.|El-Hasîb: Kullarina yeten; onlari hesaba çeken demektir. Allah Teâlâ, herkesin hayati boyunca yapip ettiklerinin bütün ayrintilariyla hesabini iyi bilendir. Bütün kullarini yaptiklarindan dolayi veya yapmalari gerekenleri yapmadiklarindan dolayi çok ayrintili bir sekilde hesaba çekecek ve herkesin hak ettigini tam olarak verecektir.
42|الْجَلِيلُ|El-Celîl |Azamet sahibi olan, ululuk sahibi olan.|El-Celîl: Azamet ve ululuk sahibi demektir. Allah Teâlâ, bütün sinirlama ve benzerlikleri asan bir yücelige sahiptir. Deger ve mertebece en yüce olandir. Mü’minleri yücelten, amellerini kabul edip mükâfâtlarini artirandir. O, zât, sifat ve fiilleri itibariyle en büyüktür. O’nun büyüklügü hacim itibariyle degildir; sân, seref ve yücelik itibariyledir.
43|الْكَرِيمُ|El-Kerîm |Çok ikram edici. Keremi ve magfireti bol olan.|El-Kerîm: Ihsâni, in’âmi, lütfu, keremi bol olan, sonsuz cömert demektir. Allah Teâlâ, her türlü faziletin sahibidir. Hiç bir karsilik beklemeden verendir. Yardimi ve ikrâmi sonsuz ve sinirsizdir. Muktedirken, affedendir. Va’dini yerine getirendir. Kendisine siginani yüz üstü birakmayandir. Az da olsa islenen iyi ameli kabul eden, karsiligini fazlasiyla verendir. Bu isimden nasip alan kul, cimriligin her çesidinden kurtulur. Allah’in kendisine verdigi nimetleri diger kullariyla paylasmasini bilir. Sahsiyetini zedeleyecek her türlü rezillikten kurtulur.
44|الرَّقِيبُ|Er-Rakîb |Bütün varliklar üzerine gözcü olan.|Er-Rakîb: Her seyi gözetleyip denetleyen; kontrol eden demektir. Allah Teâlâ, yaratiklarindan bir an bile gâfil degildir. Kim ne yaparsa onu görür ve bilir. Hiçbir sey Allah’tan gizli kalmaz. Bütün varliklar üzerinde gözcüdür, gözetleyicidir. Bütün isler O’nun denetimi ve gözetimi altinda meydana gelmektedir. O, bütün olan bitenlere sahittir. Herkese yaptiginin karsiligini verir.
45|الْمُجِيبُ|El-Mücîb |Dua edenlerin dualarini kabul eden, isteklerini veren.|El-Mücîb: Kendine yalvaranlarin isteklerini veren; kullarinin dileklerine ve dualarina karsilik veren demektir. Allah Teâlâ, kullarina, onlardan daha yakindir. Kendine yalvaranlari isitir, bilir ve onlarin isteklerini verir. Insanin duâya siddetle ihtiyaci vardir. Duâ, bir bakima ibâdettir. Duâdan mahrum kalmamak lazimdir.
46|الْوَاسِعُ|El-Vâsî |Lütfu bol olan.|El-Vâsî: Ilmi ve merhameti her seyi kusatan demektir. Allah Teâlâ, kullarina bolca ihsân eden, riziklarini genisletendir. Allah ilim, lütuf ve ihsâni ile her seyi kusatmistir. Nimetlerinin bir kismi fayda saglayan türden, diger bir kismi da zararlari gideren türdendir.
47|الْحَكِيمُ|El-Hakîm |Emirleri, kelami ve bütün isleri hikmetli olan.|El-Hakîm: Hikmet sahibi demektir. Allah Teâlâ, yaptigi her seyi yerli yerince, eksiksiz ve tam yapar. En üstün bir ilim sahibidir ve yaptigi her sey mutlaka bir hikmete mebnîdir; hikmetsiz asla is yapmaz. Bütün emirleri insanlarin yararina oldugu gibi bütün yasaklari da insanlarin zararinadir.
